"STAT_CAUSE_DESCR","num_fires","avg_fire_size","acres_burned"
Lightning,278468,312.5439943428653,87033501.016669
Miscellaneous,323805,44.453310486206206,14394204.201986
Arson,281455,33.70796098832851,9487274.15997
Missing/Undefined,166723,52.49261044689094,8751725.491537
Equipment Use,147612,46.06025503665013,6799046.36647
Debris Burning,429028,13.928677642491865,5975792.711603
Campfire,76139,45.03685970396249,3429061.461
Powerline,14448,111.39554671926909,1609442.859
Railroad,33455,25.395718732028097,849613.77018
Smoking,52869,15.938650668633793,842660.5222
Children,61167,7.681107264865042,469830.28807
Fireworks,11500,27.670201130434783,318207.313
Structure,3796,45.36074578503688,172189.391
