"month_number","num_fires","avg_fire_size","acres_burned"
"01",96438,19.67258082436384,1897184.34954
"02",149142,24.0740190005297,3590447.341777
"03",235983,28.864334640241033,6811492.281408
"04",236239,35.48493265272034,8382925.004946
"05",163898,60.292530139538,9881825.10481
"06",163440,212.42320354148313,34718448.38682
"07",237234,139.94169650985947,33198928.42982
"08",208578,137.72700477202292,28726823.201339
"09",132065,45.857188366183316,6056129.58158
"10",104992,36.9794405850922,3882545.42591
"11",93637,22.326616891239574,2090597.425845
"12",58819,15.219623232118872,895203.01889
