"OWNER_DESCR","num_fires","avg_fire_size","acres_burned"
BLM,63278,516.1241891336641,32659306.44
USFS,188338,147.67063157727065,27811991.41
MISSING/NOT SPECIFIED,1050835,21.878717973873158,22990922.602075
PRIVATE,314822,41.77983811966762,13153212.19651
FWS,12191,996.0458994340088,12142795.56
STATE,30790,332.05861903215333,10224084.88
STATE OR PRIVATE,71881,80.62694977810547,5795545.777
BIA,106819,52.475512689690035,5605381.79
TRIBAL,8952,438.31174597855227,3923766.75
NPS,17524,178.48482880620864,3127768.14
OTHER FEDERAL,6452,265.70059361438314,1714300.23
COUNTY,1841,407.77882710483436,750720.8207
UNDEFINED FEDERAL,2206,55.76353853127833,123014.366
MUNICIPAL/LOCAL,4236,20.338418413597733,86153.5404
BOR,285,82.35561403508771,23471.35
FOREIGN,15,7.58,113.7
