"STATE","month_number","fire_count"
AK,"06",3906
AL,"03",14163
AR,"03",5274
AZ,"07",17751
CA,"07",40654
CO,"07",10607
CT,"04",1922
DC,"03",14
DE,"04",43
FL,"05",13434
GA,"03",31162
HI,"07",2047
IA,"04",1405
ID,"08",15753
IL,"03",637
IN,"04",412
KS,"03",2655
KY,"03",7225
LA,"03",4553
MA,"05",1044
MD,"03",836
ME,"04",4093
MI,"04",3582
MN,"04",21094
MO,"03",5469
MS,"03",17489
MT,"08",13569
NC,"03",23933
ND,"04",5502
NE,"03",1647
NH,"04",996
NJ,"04",6123
NM,"07",9397
NV,"07",5550
NY,"04",21812
OH,"03",1055
OK,"03",10872
OR,"08",19690
PA,"04",3953
PR,"03",7280
RI,"04",187
SC,"03",16903
SD,"07",6873
TN,"03",6792
TX,"01",17406
UT,"07",9909
VA,"03",5135
VT,"04",208
WA,"07",9865
WI,"04",11556
WV,"04",5734
WY,"07",4124
