"STATE","num_fires","avg_fire_size","acres_burned"
AK,12843,2509.7791981779956,32233094.2422
ID,36698,372.89048234236196,13684334.921
CA,189550,67.24272525455025,12745858.572
TX,142021,68.90683990381704,9786218.30998
NV,16956,531.7206499174333,9015855.34
OR,61088,137.71610414484022,8412801.37
NM,37478,170.2343177600192,6380041.76101
MT,40767,154.03454068683,6279526.12018
AZ,71586,77.90183742617272,5576680.93399
WA,33513,142.69741025870556,4782218.31
FL,90261,49.15465328159449,4436748.15985
UT,30725,133.92762763254677,4114926.35901
OK,43239,74.7586741136474,3232490.31
WY,14166,169.52355528730763,2401470.6842
CO,34157,53.93650174195626,1842309.09
GA,168867,9.415452279367786,1589959.18006
SD,30963,50.73363693182185,1570865.60032
MN,44769,27.041153923697202,1210605.42001
MS,79230,14.331488072699736,1135483.8
KY,27089,37.46505168134667,1014890.784996
NE,7973,121.3343481625486,967398.7579
KS,7673,120.2416005473739,922613.801
AL,66570,13.828229758149316,920545.255
NC,111277,6.564891756697252,730521.46001
LA,30013,22.02458644510712,661023.912977
WV,21967,26.249877088359813,576631.05
SC,81315,6.661331180962922,541666.14498
AR,31663,16.072760951583867,508911.83001
TN,31154,15.620864094819284,486652.40001
MO,17953,25.596041942850775,459525.741
ND,15201,27.143426748240245,412607.23
VA,21833,15.648139055100078,341645.81999
HI,9895,25.54431531076301,252761.0
MI,10502,13.352640830318036,140229.434
PR,22081,6.280893981250849,138688.42
NJ,25949,5.08549601140699,131963.536
NY,80870,1.1595396663286757,93771.972816
WI,31861,2.7831915525878035,88675.266057
IA,4134,17.293653507498792,71491.9636
MD,3622,18.57524295969078,67279.53
PA,8712,6.282227448232323,54730.765529
ME,13150,1.8673490494296578,24555.64
OH,3479,6.879521414199482,23933.855
IL,2327,9.801252685861623,22807.515
IN,2098,8.256858913250715,17322.89
CT,4976,2.2595076366559486,11243.31
MA,2626,2.3323419649657273,6124.73
DE,171,28.266959064327484,4833.65
NH,2452,1.575043637846656,3862.007
VT,456,3.4133464912280704,1556.486
RI,480,1.1716875,562.41
DC,66,0.49242424242424243,32.5
