"FIRE_YEAR","num_fires","avg_fire_size","acres_burned"
1992,67975,32.364222155204125,2199958.001
1993,61989,35.35620840794334,2191696.003
1994,75955,54.19887471529195,4116675.529
1995,71472,28.67675534475039,2049585.058
1996,75574,79.46060429512795,6005155.709
1997,61450,52.313023759153786,3214635.31
1998,68370,29.414983179903466,2011102.40001
1999,89363,68.03934195685015,6080199.71529
2000,96416,79.23476024726187,7639498.644
2001,86587,43.009600794576556,3724072.304
2002,75656,89.92358038700169,6803258.397759
2003,68261,65.6827902573944,4483572.94576
2004,69279,118.8557596694525,8234208.17414
2005,88604,109.08204063044558,9665105.12802
2006,114004,88.09776772350094,10043497.91155
2007,95573,96.94609071756669,9265428.72815
2008,85378,63.32465162781982,5406532.10668
2009,78325,77.33375176142994,6057166.106714
2010,79889,43.72886399491795,3493455.21569
2011,90552,106.2770263218924,9623597.2875
2012,72769,129.72403704874327,9439888.452
2013,64780,69.35014533667798,4492502.41491
2014,67753,54.21885957392292,3673490.392712
2015,74491,137.17452602059308,10218267.6178
